c;no_sleep;4000;0.496;2.706;0.18334
c;sleep;4000;0.22;5.425;0.0406
c;sleep;10000;0.028;14.25;0.00195
erlang;no_sleep;4000;0.989;3.256;0.30369
erlang;sleep;4000;6.801;5.78;1.17676
erlang;sleep;10000;0.055;16.183;0.00339
java;no_sleep;4000;0.765;2.079;0.36796
java;sleep;4000;5.51;5.822;0.94642
java;sleep;10000;0.044;18.353;0.00239
