23;fannkuch-redux;1681.7;83.62;20.11
26;fannkuch-redux;1369.93;53.43;25.64
23;mandelbrot;2556.72;150.98;16.93
26;mandelbrot;1182.25;57.0;20.74
23;n-body;692.41;193.98;3.57
26;n-body;312.29;84.03;3.72
