c;no;4000;0.496;2.706;0.18334;1.0;1.0
c;yes;4000;0.22;5.425;0.0406;1.0;1.0
c;yes;10000;0.028;14.25;0.00195;1.0;1.0
erlang;no;4000;0.989;3.256;0.30369;1.99;1.20
erlang;yes;4000;6.801;5.78;1.17676;30.88;1.06
erlang;yes;10000;0.055;16.183;0.00339;1.97;1.13
java;no;4000;0.765;2.079;0.36796;1.54;0.76
java;yes;4000;5.51;5.822;0.94642;25.01;1.07
java;yes;10000;0.044;18.353;0.00239;1.57;1.28
