Language,Energy consumption in microjoules,Runtime in seconds
c,33556234.9256723,2.9022517499999765
erlang,2212824898.7671223,552.5177843500003
go,3243554.7644936773,5.466415349999995
java,61510123.802929364,3.8252962600000044
