------------OTP23Linux---------------------
n-body;1913.586;136.625;14.00607
mandelbrot;1554.382;112.288;13.84286
fannkuch-redux;821.426;54.098;15.18399
reverse-complement;119.768;3.537;33.85813
report_erl_10000;4.344;9.705;0.44757
report_erl_4000;1.754;3.866;0.45373
------------OTP26Linux---------------------
n-body;1155.287;69.517;16.61888
mandelbrot;854.626;48.021;17.79695
fannkuch-redux;913.432;52.924;17.25925
reverse-complement;1640.744;138.387;11.85617
report_erl_4000;1.758;3.814;0.46099
report_erl_10000;4.21;9.312;0.45215
